Participant ID,Input Device,Round,Radius,Distance,Total Clicks,Missed Clicks,Click Times
2,mouse,2,30,300,11,1,"[1.1494214534759521, 1.126150369644165, 0.9930851459503174, 1.129967451095581, 1.3734395503997803, 1.2373082637786865, 1.1624538898468018, 1.0662107467651367, 1.0325126647949219, 0.9600436687469482]"
2,mouse,3,30,200,13,3,"[0.7690038681030273, 0.867931604385376, 0.9314024448394775, 0.9161398410797119, 1.1153991222381592, 0.8856077194213867, 1.1301980018615723, 0.7693777084350586, 1.5140697956085205, 0.882601261138916]"
2,mouse,4,20,100,10,0,"[0.9494364261627197, 0.8323490619659424, 0.729036808013916, 0.7891402244567871, 0.8307735919952393, 0.6483902931213379, 0.7411813735961914, 0.7603099346160889, 0.7274520397186279, 0.6674065589904785]"
2,mouse,5,20,300,14,4,"[1.1582026481628418, 0.9843635559082031, 1.0002498626708984, 1.6589055061340332, 1.159895658493042, 1.4488658905029297, 3.895575761795044, 1.384166955947876, 1.514190435409546, 1.4486548900604248]"
2,mouse,6,20,200,13,3,"[1.5734105110168457, 1.0143916606903076, 0.9338779449462891, 0.9861705303192139, 1.0971698760986328, 1.7993674278259277, 1.0310206413269043, 1.07309889793396, 1.0001511573791504, 0.9090569019317627]"
2,mouse,7,10,100,12,2,"[0.8600761890411377, 0.8685755729675293, 1.6296818256378174, 0.8340344429016113, 0.9498229026794434, 1.5650954246520996, 0.9010152816772461, 0.9984335899353027, 1.038257122039795, 0.9280469417572021]"
2,mouse,8,10,300,12,2,"[1.2625315189361572, 1.3983430862426758, 1.235147476196289, 1.1983489990234375, 1.49876070022583, 1.2396955490112305, 1.5977420806884766, 1.9939591884613037, 1.8647801876068115, 1.1898863315582275]"
2,mouse,9,10,200,14,4,"[1.1906557083129883, 1.1152045726776123, 1.3494975566864014, 1.6981689929962158, 1.0496277809143066, 1.0669822692871094, 1.0489680767059326, 1.4807512760162354, 1.1884503364562988, 1.460691213607788]"
2,mouselatency,1,30,100,12,2,"[11.910083770751953, 0.887925386428833, 1.1331443786621094, 0.9918572902679443, 1.1847801208496094, 0.9174177646636963, 1.9664804935455322, 1.0859301090240479, 1.1313621997833252, 1.068253517150879]"
2,mouselatency,2,30,300,10,0,"[1.1786179542541504, 1.3598623275756836, 1.18269944190979, 1.8820531368255615, 1.5330438613891602, 1.2402641773223877, 1.3583078384399414, 1.3150968551635742, 1.5170023441314697, 1.198401927947998]"
2,mouselatency,3,30,200,12,2,"[0.7111372947692871, 1.211104154586792, 1.0179603099822998, 0.9805865287780762, 1.782494306564331, 1.2683727741241455, 1.3462653160095215, 2.040719747543335, 1.5205910205841064, 1.0863850116729736]"
2,mouselatency,4,20,100,13,3,"[0.8760182857513428, 1.9327175617218018, 1.3492584228515625, 1.6911985874176025, 1.2800757884979248, 1.159048080444336, 1.5175504684448242, 0.9830608367919922, 1.0649642944335938, 1.4992163181304932]"
2,mouselatency,5,20,300,13,3,"[1.311455488204956, 2.797860622406006, 1.4413793087005615, 2.4235775470733643, 2.198770761489868, 1.4495947360992432, 1.7481589317321777, 1.5493204593658447, 1.2712061405181885, 1.4285635948181152]"
2,mouselatency,6,20,200,14,4,"[2.4448866844177246, 1.6996979713439941, 1.4814581871032715, 2.8654229640960693, 1.4655237197875977, 1.534130334854126, 1.348823070526123, 1.2493555545806885, 1.9387736320495605, 1.209723711013794]"
2,mouselatency,7,10,100,16,6,"[1.293039083480835, 1.6662209033966064, 1.1848056316375732, 1.3480675220489502, 1.4161725044250488, 1.8652327060699463, 2.1647417545318604, 1.6163692474365234, 1.7485790252685547, 1.0986483097076416]"
2,mouselatency,8,10,300,15,5,"[1.8679771423339844, 1.9066624641418457, 1.967456340789795, 2.1558423042297363, 2.7411234378814697, 1.8578531742095947, 1.8898966312408447, 1.8501181602478027, 2.181432008743286, 2.018913745880127]"
2,mouselatency,9,10,200,12,2,"[1.1246929168701172, 2.000110387802124, 1.4715356826782227, 2.0583319664001465, 2.316587209701538, 1.6822633743286133, 2.116386890411377, 1.648402452468872, 1.480902910232544, 1.3491427898406982]"
2,pointing,1,30,100,22,12,"[17.965219020843506, 2.046630382537842, 4.9310503005981445, 3.7829840183258057, 2.500236988067627, 2.28139066696167, 1.948503017425537, 1.7157490253448486, 1.2330608367919922, 5.162632465362549]"
2,pointing,2,30,300,18,8,"[2.6064236164093018, 3.194831371307373, 3.3150742053985596, 3.2977864742279053, 5.5293989181518555, 3.4646308422088623, 4.946203708648682, 3.51526141166687, 4.680709600448608, 4.114337205886841]"
2,pointing,3,30,200,37,27,"[0.9951601028442383, 2.1661410331726074, 1.932065486907959, 4.781079053878784, 4.416027069091797, 2.3797903060913086, 2.2327756881713867, 2.0477800369262695, 1.4518253803253174, 5.88047981262207]"
2,pointing,4,20,100,34,24,"[0.7861666679382324, 2.1381964683532715, 1.9342186450958252, 1.4669790267944336, 1.5790839195251465, 4.499284505844116, 3.0379879474639893, 1.2444508075714111, 2.5295252799987793, 1.2343616485595703]"
2,pointing,5,20,300,71,61,"[4.800507545471191, 10.270328283309937, 10.37943410873413, 7.3433802127838135, 3.8442013263702393, 7.080918073654175, 4.000749349594116, 2.9445812702178955, 3.9821765422821045, 2.969989776611328]"
2,pointing,6,20,200,43,33,"[4.961067199707031, 9.54332184791565, 3.9953503608703613, 4.913187503814697, 2.8504810333251953, 2.980114459991455, 4.431080341339111, 8.59345030784607, 3.713792562484741, 3.865572929382324]"
2,pointing,7,10,100,45,35,"[4.418255090713501, 5.746159076690674, 3.665618658065796, 2.8427350521087646, 3.427154302597046, 2.743314743041992, 6.328115940093994, 13.058850765228271, 6.483008146286011, 2.9624991416931152]"
2,pointing,8,10,300,160,150,"[19.515348434448242, 5.5111472606658936, 12.109623670578003, 16.67408776283264, 5.104511737823486, 7.406026601791382, 8.760546445846558, 7.944441318511963, 6.567642688751221, 4.591522693634033]"
2,pointing,9,10,200,93,83,"[1.6469330787658691, 2.9910459518432617, 8.154000043869019, 3.7296502590179443, 3.2650740146636963, 5.479158401489258, 6.498019218444824, 5.111869812011719, 3.008963108062744, 10.78376293182373]"
