Participant ID,Input Device,Round,Radius,Distance,Total Clicks,Missed Clicks,Click Times
01,touchpad,1,10,100,10,0,"[1.7780239582061768, 0.8727049827575684, 0.8388588428497314, 0.8725850582122803, 0.9913280010223389, 0.9508311748504639, 0.93408203125, 0.8887729644775391, 0.6810588836669922, 0.7051181793212891]"
01,touchpad,2,10,200,12,2,"[0.8403809070587158, 1.8631312847137451, 1.030646800994873, 1.0226051807403564, 0.9341528415679932, 1.6331660747528076, 0.9958329200744629, 0.7706661224365234, 1.0227811336517334, 0.7762298583984375]"
01,touchpad,3,10,300,16,6,"[1.1247518062591553, 1.0860331058502197, 0.9420931339263916, 0.9749908447265625, 1.2592647075653076, 1.0378289222717285, 1.182229995727539, 2.733858823776245, 1.1773171424865723, 1.540808916091919]"
01,touchpad,4,20,100,11,1,"[0.8710029125213623, 0.6665341854095459, 0.5551371574401855, 0.7602171897888184, 0.7447748184204102, 0.7044239044189453, 0.5871949195861816, 0.7947320938110352, 0.6943700313568115, 0.634242057800293]"
01,touchpad,5,20,200,10,0,"[0.7585070133209229, 0.659142017364502, 0.7440602779388428, 1.4257738590240479, 0.8801889419555664, 0.7451992034912109, 0.9368269443511963, 1.0585048198699951, 0.9932048320770264, 0.8479139804840088]"
01,touchpad,6,20,300,12,2,"[0.6706266403198242, 0.8723280429840088, 1.3430500030517578, 0.8365182876586914, 1.3626668453216553, 0.9432392120361328, 1.039348840713501, 0.7906749248504639, 1.204030990600586, 0.9748449325561523]"
01,touchpad,7,30,100,12,2,"[2.0166611671447754, 0.5624451637268066, 0.6643710136413574, 0.5951337814331055, 0.8877360820770264, 0.7409708499908447, 0.6531960964202881, 0.7011990547180176, 0.5105569362640381, 0.6263940334320068]"
01,touchpad,8,30,200,13,3,"[1.0939912796020508, 0.5633940696716309, 0.7839791774749756, 1.300316333770752, 0.8162128925323486, 1.3465230464935303, 0.8316731452941895, 1.3955419063568115, 0.7366070747375488, 0.974261999130249]"
01,touchpad,9,30,300,12,2,"[0.8419768810272217, 1.0777971744537354, 0.7648839950561523, 1.0014822483062744, 1.0394999980926514, 0.7205162048339844, 0.8085892200469971, 0.6884891986846924, 0.7771270275115967, 0.7132031917572021]"
01,mouselatency,1,10,100,18,8,"[2.238645076751709, 1.4154963493347168, 1.5093050003051758, 2.1237268447875977, 1.2696549892425537, 3.8899409770965576, 1.2206342220306396, 1.2914659976959229, 1.2442750930786133, 2.417668104171753]"
01,mouselatency,2,10,200,12,2,"[1.3798542022705078, 1.3928661346435547, 1.6321330070495605, 3.1062629222869873, 1.736130714416504, 1.9339137077331543, 1.5685648918151855, 1.3545351028442383, 1.3573782444000244, 1.5833208560943604]"
01,mouselatency,3,10,300,16,6,"[1.5205178260803223, 1.7563269138336182, 3.2588558197021484, 2.803323984146118, 2.1813788414001465, 3.2487378120422363, 2.543447732925415, 2.027235984802246, 2.6740498542785645, 2.7777411937713623]"
01,mouselatency,4,20,100,10,0,"[1.0465888977050781, 1.0933818817138672, 0.9350111484527588, 1.8384268283843994, 1.0554261207580566, 0.8622970581054688, 0.8074522018432617, 0.9439058303833008, 3.1452150344848633, 1.0294358730316162]"
01,mouselatency,5,20,200,10,0,"[1.5533301830291748, 0.9832119941711426, 1.2616961002349854, 2.9546847343444824, 1.4329850673675537, 1.0852539539337158, 1.1648750305175781, 1.32875394821167, 1.0727479457855225, 1.1165072917938232]"
01,mouselatency,6,20,300,10,0,"[1.2538440227508545, 1.1331589221954346, 1.3153929710388184, 1.3630921840667725, 1.5309066772460938, 1.5118720531463623, 1.601391315460205, 1.5202620029449463, 1.1822319030761719, 1.2858612537384033]"
01,mouselatency,7,30,100,10,0,"[0.9042460918426514, 0.9190421104431152, 0.8786361217498779, 0.8810968399047852, 0.8544378280639648, 0.9350969791412354, 0.7938768863677979, 0.639545202255249, 0.744488000869751, 0.7217299938201904]"
01,mouselatency,8,30,200,10,0,"[1.430469036102295, 0.9821529388427734, 0.9388689994812012, 2.227977991104126, 1.1069068908691406, 0.9358139038085938, 0.8551340103149414, 0.8403050899505615, 0.9503984451293945, 0.9944798946380615]"
01,mouselatency,9,30,300,12,2,"[3.137726068496704, 1.1647539138793945, 1.3158128261566162, 1.053514003753662, 1.0621922016143799, 1.3536579608917236, 1.5300629138946533, 1.1602880954742432, 1.7004671096801758, 1.2908742427825928]"
01,mouse,1,10,100,10,0,"[1.3320980072021484, 0.904094934463501, 0.8861932754516602, 0.9200248718261719, 0.720879077911377, 0.7619740962982178, 0.8394982814788818, 0.785987138748169, 0.7270090579986572, 0.8651609420776367]"
01,mouse,2,10,200,12,2,"[0.9711968898773193, 1.022907018661499, 0.9671118259429932, 3.45292592048645, 0.9921538829803467, 1.417672872543335, 1.291750192642212, 1.24444580078125, 1.2224340438842773, 1.1553821563720703]"
01,mouse,3,10,300,10,0,"[1.1941649913787842, 1.2269749641418457, 1.8244390487670898, 2.512348175048828, 1.2597508430480957, 1.173050880432129, 1.1161558628082275, 1.3476588726043701, 1.1492161750793457, 1.1965761184692383]"
01,mouse,4,20,100,11,1,"[0.7447752952575684, 0.705873966217041, 0.8071391582489014, 0.708078145980835, 0.7350831031799316, 0.7038331031799316, 0.7787446975708008, 1.4408318996429443, 0.6971902847290039, 0.7204468250274658]"
01,mouse,5,20,200,11,1,"[1.1756596565246582, 0.6968100070953369, 0.8705008029937744, 0.714235782623291, 1.482741117477417, 1.2277390956878662, 0.9589686393737793, 1.3406956195831299, 0.8930380344390869, 0.6254088878631592]"
01,mouse,6,20,300,10,0,"[1.2076630592346191, 1.2118167877197266, 0.8088400363922119, 1.0532841682434082, 0.8356101512908936, 0.9993259906768799, 1.1614699363708496, 0.9973762035369873, 1.2281231880187988, 0.832237720489502]"
01,mouse,7,30,100,10,0,"[0.6764039993286133, 1.0604362487792969, 0.7371149063110352, 0.5953068733215332, 0.7639150619506836, 0.7169311046600342, 0.5636100769042969, 0.6092488765716553, 0.5710639953613281, 0.5310070514678955]"
01,mouse,8,30,200,10,0,"[0.5946910381317139, 0.9744179248809814, 0.9479260444641113, 0.9391889572143555, 0.831524133682251, 0.7994611263275146, 0.6906039714813232, 0.722222089767456, 0.6875920295715332, 0.7952480316162109]"
01,mouse,9,30,300,10,0,"[0.6925501823425293, 0.7576231956481934, 0.8512959480285645, 0.990447998046875, 0.8391039371490479, 0.8357231616973877, 1.1057097911834717, 1.5105149745941162, 0.8524789810180664, 1.0538980960845947]"
01,mouse,1,30,100,11,1,"[1.2409791946411133, 0.7512876987457275, 0.7453348636627197, 0.6732678413391113, 0.6976408958435059, 0.5147378444671631, 0.6809971332550049, 0.4920167922973633, 1.370877981185913, 0.7714941501617432]"
01,mouse,2,30,300,12,2,"[1.0201609134674072, 0.9664971828460693, 1.5861589908599854, 1.0455479621887207, 0.9822070598602295, 0.9538302421569824, 0.8691360950469971, 1.251737117767334, 0.742332935333252, 3.7317593097686768]"
01,mouse,3,30,200,10,0,"[0.9039638042449951, 1.2692978382110596, 0.7526102066040039, 0.7552249431610107, 0.9323599338531494, 1.155886173248291, 0.6494779586791992, 0.8118960857391357, 0.9163908958435059, 0.783776044845581]"
01,mouse,4,20,100,10,0,"[0.8225579261779785, 0.7204599380493164, 0.7292778491973877, 0.6742761135101318, 0.7924270629882812, 0.7042760848999023, 0.8802299499511719, 0.8233189582824707, 0.744570255279541, 0.6611018180847168]"
01,mouse,5,20,300,10,0,"[0.9032750129699707, 0.8476917743682861, 0.9298171997070312, 1.0841379165649414, 0.9653949737548828, 0.8716130256652832, 0.990415096282959, 0.8246920108795166, 1.2004029750823975, 0.7875881195068359]"
