Participant ID,Input Device,Round,Radius,Distance,Click Times
02,touchpad,1,10,100,"[1.271981954574585, 0.7391219139099121, 0.7110650539398193, 0.8816661834716797, 1.0200350284576416, 0.8963119983673096, 1.0840320587158203, 0.9434549808502197, 1.667478084564209, 0.8617451190948486]"
02,touchpad,2,10,200,"[0.8677592277526855, 0.7924890518188477, 0.9516410827636719, 1.1803839206695557, 1.0139069557189941, 2.6508729457855225, 0.8589980602264404, 0.983119010925293, 0.9292371273040771, 1.0910987854003906]"
02,touchpad,3,10,300,"[0.8757250308990479, 0.9269249439239502, 1.132786750793457, 0.9987740516662598, 1.1807520389556885, 1.0147249698638916, 0.949970006942749, 1.2756309509277344, 1.5782239437103271, 1.3946430683135986]"
02,touchpad,4,20,100,"[0.803159236907959, 0.6896078586578369, 0.6503558158874512, 0.5935239791870117, 0.7934560775756836, 0.6722180843353271, 0.6742508411407471, 0.6646499633789062, 0.6590011119842529, 0.7443780899047852]"
02,touchpad,5,20,200,"[0.6124207973480225, 0.6816658973693848, 0.7226040363311768, 0.7748839855194092, 0.8714659214019775, 0.8081846237182617, 0.7615170478820801, 0.7839159965515137, 0.8944978713989258, 0.7221357822418213]"
02,touchpad,6,20,300,"[0.6684210300445557, 0.7567811012268066, 0.6264591217041016, 0.7165210247039795, 0.8222672939300537, 0.7773330211639404, 0.7672672271728516, 0.8163101673126221, 1.0942461490631104, 1.062230110168457]"
02,touchpad,7,30,100,"[0.7721269130706787, 0.7618298530578613, 0.569239616394043, 0.649317741394043, 0.754479169845581, 0.7036678791046143, 0.6026601791381836, 0.510188102722168, 0.6077408790588379, 0.5224170684814453]"
02,touchpad,8,30,200,"[0.6221749782562256, 0.6649959087371826, 0.839836835861206, 0.8082129955291748, 0.697746992111206, 0.5740118026733398, 0.7176392078399658, 0.6923389434814453, 0.6906769275665283, 0.9533660411834717]"
02,touchpad,9,30,300,"[0.5677602291107178, 0.5534079074859619, 0.8154349327087402, 0.777195930480957, 0.8876149654388428, 1.2235429286956787, 1.0347049236297607, 1.2321619987487793, 0.8126721382141113, 0.7684001922607422]"
