Participant ID,Input Device,Round,Radius,Distance,Total Clicks,Missed Clicks,Click Times
1,mouselatency,1,30,100,11,1,"[1.7802305221557617, 1.250605821609497, 1.1305100917816162, 1.083695650100708, 1.1158511638641357, 0.8820240497589111, 0.8493690490722656, 1.0673131942749023, 1.0319147109985352, 2.099093437194824]"
1,mouselatency,2,30,300,11,1,"[1.146644115447998, 1.4979727268218994, 1.1505324840545654, 1.0828309059143066, 1.0811560153961182, 1.3672585487365723, 1.1901297569274902, 1.8561999797821045, 1.2663817405700684, 1.0335180759429932]"
1,mouselatency,3,30,200,11,1,"[1.4564118385314941, 1.3677358627319336, 0.8817753791809082, 0.9996776580810547, 1.0481152534484863, 0.9833559989929199, 0.8343791961669922, 0.8720383644104004, 1.0770750045776367, 1.0813994407653809]"
1,mouselatency,4,20,100,11,1,"[1.124319076538086, 0.8696930408477783, 0.9958364963531494, 1.098745584487915, 0.9667758941650391, 1.3375458717346191, 1.411139965057373, 0.9665732383728027, 0.9652402400970459, 0.832066535949707]"
1,mouselatency,5,20,300,13,3,"[2.53874135017395, 1.2645063400268555, 1.2333958148956299, 1.1178090572357178, 1.5474154949188232, 1.532637596130371, 1.1887378692626953, 1.7752861976623535, 1.3853487968444824, 1.8953235149383545]"
1,mouselatency,6,20,200,10,0,"[1.5793704986572266, 1.100846529006958, 1.3811345100402832, 1.183490514755249, 1.1493620872497559, 1.2073521614074707, 1.3290529251098633, 1.2781016826629639, 1.2830169200897217, 1.3640515804290771]"
1,mouselatency,7,10,100,10,0,"[2.7937541007995605, 1.7435567378997803, 1.638192892074585, 1.2491109371185303, 1.1444146633148193, 1.216411828994751, 1.765920877456665, 1.3811829090118408, 2.066246271133423, 1.9161956310272217]"
1,mouselatency,8,10,300,13,3,"[2.164515256881714, 1.648371934890747, 1.5109210014343262, 1.4827842712402344, 2.666713237762451, 3.2206051349639893, 2.4291930198669434, 1.7940576076507568, 1.6818938255310059, 2.1166329383850098]"
1,mouselatency,9,10,200,11,1,"[1.012850046157837, 2.064912796020508, 1.6320531368255615, 1.516162633895874, 1.8325378894805908, 1.965209722518921, 1.5193724632263184, 2.4614980220794678, 1.4007611274719238, 1.6305553913116455]"
1,pointing,1,30,100,15,5,"[27.046777725219727, 1.8316214084625244, 2.467320203781128, 2.2136425971984863, 1.5991923809051514, 2.315953254699707, 1.7102406024932861, 1.7105720043182373, 1.6010067462921143, 1.876197099685669]"
1,pointing,2,30,300,17,7,"[2.643878936767578, 3.9209282398223877, 3.071672201156616, 4.816175222396851, 3.797145366668701, 6.397988557815552, 4.0970847606658936, 2.9503047466278076, 2.3140363693237305, 2.4152884483337402]"
1,pointing,3,30,200,22,12,"[1.5603046417236328, 2.5141043663024902, 2.347583532333374, 4.036989450454712, 2.4515087604522705, 2.425656318664551, 2.713334798812866, 2.048414707183838, 2.6692652702331543, 2.0791220664978027]"
1,pointing,4,20,100,25,15,"[2.4230880737304688, 1.7001464366912842, 1.9189298152923584, 2.179055690765381, 1.6826059818267822, 2.0494656562805176, 1.5657124519348145, 2.4486913681030273, 2.19830584526062, 4.049839496612549]"
1,pointing,5,20,300,23,13,"[3.079573392868042, 3.1946520805358887, 3.779231071472168, 3.146254777908325, 3.58351993560791, 3.415222406387329, 3.197824239730835, 4.616154432296753, 2.4140236377716064, 3.030381679534912]"
1,pointing,6,20,200,24,14,"[1.9232988357543945, 1.9189414978027344, 1.9622702598571777, 2.432649612426758, 2.6872172355651855, 2.945155382156372, 2.678731679916382, 3.136768341064453, 5.141651153564453, 2.3341405391693115]"
1,pointing,7,10,100,27,17,"[2.8064005374908447, 1.9377861022949219, 2.2454354763031006, 2.0652666091918945, 3.147456407546997, 2.084027051925659, 3.8777403831481934, 4.171468734741211, 4.115406036376953, 2.317500352859497]"
1,pointing,8,10,300,32,22,"[3.153271198272705, 3.082242012023926, 3.6984500885009766, 4.704687833786011, 3.7245874404907227, 7.7278218269348145, 5.363281726837158, 5.2319958209991455, 4.2460618019104, 4.431314706802368]"
1,pointing,9,10,200,37,27,"[2.4597113132476807, 2.7479360103607178, 5.715147018432617, 6.733211517333984, 3.4270620346069336, 4.696488857269287, 3.6694188117980957, 3.3458828926086426, 3.3321192264556885, 2.93013858795166]"
