Participant ID,Input Device,Round,Radius,Distance,Total Clicks,Missed Clicks,Click Times
3,touchpad,5,20,300,10,0,"[1.6979615688323975, 2.328803777694702, 3.219477891921997, 2.796395778656006, 3.382167100906372, 3.0468780994415283, 1.9735596179962158, 1.5110957622528076, 1.9968922138214111, 1.6643381118774414]"
3,touchpad,6,20,200,10,0,"[1.7749807834625244, 1.9988582134246826, 2.5151455402374268, 2.5973422527313232, 2.0502800941467285, 2.3181827068328857, 2.8627371788024902, 1.5325829982757568, 1.8647692203521729, 2.21610164642334]"
3,touchpad,7,10,100,10,0,"[1.5864717960357666, 2.0057766437530518, 2.8410229682922363, 4.113521575927734, 2.3333215713500977, 2.944681167602539, 2.00730037689209, 2.4641807079315186, 2.4600508213043213, 2.1006438732147217]"
3,touchpad,8,10,300,11,1,"[2.2962071895599365, 2.464869260787964, 1.865936279296875, 2.0801002979278564, 1.900895118713379, 2.1648519039154053, 1.1249794960021973, 3.7887206077575684, 2.432755470275879, 4.662433385848999]"
3,touchpad,9,10,200,11,1,"[2.2934601306915283, 2.8685600757598877, 3.4567933082580566, 1.4887325763702393, 2.0229151248931885, 2.32275390625, 2.9650137424468994, 1.4423165321350098, 3.0877845287323, 2.217308282852173]"
3,mouse,1,30,100,10,0,"[2.723660945892334, 0.9753525257110596, 0.6999127864837646, 0.7031993865966797, 0.7321698665618896, 0.7141563892364502, 0.5941746234893799, 0.6892969608306885, 0.6315443515777588, 0.6831915378570557]"
3,mouse,2,30,300,10,0,"[0.9944376945495605, 0.6488659381866455, 0.9672760963439941, 0.699444055557251, 0.8992903232574463, 1.016540288925171, 1.6649701595306396, 1.4490599632263184, 1.0205328464508057, 0.6295645236968994]"
3,mouse,3,30,200,10,0,"[1.0593616962432861, 0.5705320835113525, 0.808495044708252, 0.7210104465484619, 0.7104880809783936, 0.6828198432922363, 1.617192268371582, 1.018035888671875, 0.8605027198791504, 0.7521593570709229]"
3,mouse,4,20,100,11,1,"[1.1392087936401367, 0.5931134223937988, 0.6588325500488281, 0.6651980876922607, 0.8864266872406006, 1.2640154361724854, 1.7251389026641846, 1.2233374118804932, 1.949486494064331, 2.497100830078125]"
3,mouse,5,20,300,10,0,"[2.8068087100982666, 1.2849376201629639, 1.2997770309448242, 0.930809736251831, 1.2314012050628662, 1.250300645828247, 1.0472357273101807, 1.1333093643188477, 1.1553001403808594, 1.5798256397247314]"
3,mouse,6,20,200,10,0,"[1.6930930614471436, 1.2729711532592773, 1.3728992938995361, 1.4352126121520996, 1.9107682704925537, 2.7357115745544434, 1.2983155250549316, 1.2165982723236084, 1.2988452911376953, 1.1316418647766113]"
3,mouse,7,10,100,10,0,"[1.0352513790130615, 0.9777705669403076, 0.7328498363494873, 0.9995319843292236, 1.0825231075286865, 1.0311996936798096, 1.1849560737609863, 1.0697314739227295, 1.161555528640747, 1.2206687927246094]"
3,mouse,8,10,300,10,0,"[2.1928465366363525, 2.2253241539001465, 1.8598897457122803, 2.1440675258636475, 2.798090696334839, 1.9850983619689941, 1.845515251159668, 2.115236759185791, 1.846658706665039, 2.152207612991333]"
3,mouse,9,10,200,12,2,"[1.4684481620788574, 2.275672674179077, 2.2318387031555176, 2.4991652965545654, 2.2725462913513184, 1.9005603790283203, 2.1736044883728027, 1.8161389827728271, 1.8689723014831543, 4.311049699783325]"
