Participant ID,Input Device,Round,Radius,Distance,Total Clicks,Missed Clicks,Click Times
3,pointing,1,30,100,55,45,"[4.381800413131714, 1.6978602409362793, 4.349980592727661, 2.72137188911438, 1.9410319328308105, 1.9423751831054688, 1.905325174331665, 2.032555341720581, 1.9500162601470947, 1.5285181999206543]"
3,pointing,2,30,300,77,67,"[2.3609251976013184, 3.1341841220855713, 3.2957348823547363, 3.051842212677002, 3.6962437629699707, 2.9352529048919678, 4.278327226638794, 3.999932050704956, 4.527130603790283, 2.8319880962371826]"
3,pointing,3,30,200,50,40,"[1.72990083694458, 4.713603258132935, 4.363418817520142, 2.3836822509765625, 3.164550304412842, 2.6018564701080322, 2.511404514312744, 2.471764087677002, 1.892665147781372, 2.0496346950531006]"
3,pointing,4,20,100,30,20,"[0.9984333515167236, 1.4570693969726562, 2.0497069358825684, 1.3470580577850342, 2.1900651454925537, 2.0318896770477295, 3.0431830883026123, 1.8010962009429932, 1.6958396434783936, 1.4504003524780273]"
3,pointing,5,20,300,73,63,"[2.003021001815796, 2.167098045349121, 2.601020097732544, 2.6187210083007812, 9.551943063735962, 4.883224010467529, 3.0836503505706787, 3.1956231594085693, 2.6815030574798584, 2.3993465900421143]"
3,pointing,6,20,200,112,102,"[1.2743568420410156, 1.7318439483642578, 3.031846523284912, 2.26926851272583, 2.1941158771514893, 2.5013394355773926, 2.196085214614868, 2.3678202629089355, 5.419411659240723, 1.9564228057861328]"
3,pointing,7,10,100,153,143,"[3.6766626834869385, 3.0273327827453613, 4.117898941040039, 3.6808629035949707, 3.682727813720703, 3.0192291736602783, 2.828378677368164, 3.4334161281585693, 3.2456560134887695, 2.3738813400268555]"
3,pointing,8,10,300,177,167,"[2.5858569145202637, 3.8998067378997803, 4.97863245010376, 3.0204710960388184, 4.344862699508667, 3.3779373168945312, 3.2654566764831543, 5.0808751583099365, 4.547074794769287, 3.6817126274108887]"
3,pointing,9,10,200,133,123,"[1.0630433559417725, 3.8883726596832275, 2.5928540229797363, 3.2294700145721436, 3.2830445766448975, 3.896740436553955, 2.8318777084350586, 3.3521108627319336, 2.8267948627471924, 2.147728681564331]"
3,mouselatency,1,30,100,11,1,"[2.1157195568084717, 1.0257282257080078, 0.8331291675567627, 0.7995486259460449, 0.8316981792449951, 0.8506557941436768, 0.8665928840637207, 0.8322315216064453, 0.9187178611755371, 1.1996736526489258]"
3,mouselatency,2,30,300,11,1,"[1.0365502834320068, 1.2215580940246582, 1.2839605808258057, 1.1334667205810547, 1.148322343826294, 0.8712966442108154, 1.5269830226898193, 1.0841033458709717, 1.249110221862793, 1.3326823711395264]"
3,mouselatency,3,30,200,12,2,"[1.4446499347686768, 1.2345707416534424, 1.1476030349731445, 0.8672990798950195, 0.7998569011688232, 1.0000474452972412, 1.1790921688079834, 0.8662989139556885, 1.5668907165527344, 0.9497518539428711]"
3,mouselatency,4,20,100,11,1,"[1.18691086769104, 0.9772348403930664, 0.8167991638183594, 1.235952615737915, 1.0288431644439697, 0.740858793258667, 0.8792188167572021, 0.7458250522613525, 0.714733362197876, 0.9663934707641602]"
3,mouselatency,5,20,300,10,0,"[1.364647388458252, 1.348473310470581, 1.0992016792297363, 1.3990345001220703, 0.9498236179351807, 1.2312967777252197, 1.1162776947021484, 1.379364252090454, 1.384774923324585, 1.2804675102233887]"
3,mouselatency,6,20,200,12,2,"[1.1823673248291016, 1.1974496841430664, 1.4326610565185547, 1.2333862781524658, 1.2488784790039062, 0.936617374420166, 1.0615367889404297, 1.4821877479553223, 1.499817132949829, 1.7989556789398193]"
3,mouselatency,7,10,100,12,2,"[2.02952241897583, 1.6457407474517822, 1.8958075046539307, 1.8345766067504883, 2.8338263034820557, 1.1963739395141602, 1.4337735176086426, 1.646239995956421, 1.5507848262786865, 1.1814885139465332]"
3,mouselatency,8,10,300,11,1,"[2.6619491577148438, 1.7582440376281738, 2.3852579593658447, 2.2320456504821777, 2.4842870235443115, 1.8111627101898193, 1.9009974002838135, 2.2150063514709473, 1.533541202545166, 2.5147035121917725]"
3,mouselatency,9,10,200,16,6,"[1.8078174591064453, 1.7472949028015137, 2.0700461864471436, 1.2122118473052979, 3.5985400676727295, 1.4313607215881348, 1.9329559803009033, 2.4339962005615234, 1.1294584274291992, 1.417372703552246]"
3,touchpad,1,30,100,10,0,"[1.3233752250671387, 3.8484537601470947, 2.316676378250122, 1.8165247440338135, 2.3980562686920166, 2.331596612930298, 2.3988864421844482, 2.467503547668457, 1.7484776973724365, 3.0479214191436768]"
3,touchpad,2,30,300,10,0,"[1.908501148223877, 2.0166687965393066, 1.7960448265075684, 2.15160870552063, 1.8650686740875244, 3.6943137645721436, 2.5341415405273438, 2.27323842048645, 2.172772169113159, 2.133334159851074]"
3,touchpad,3,30,200,11,1,"[1.4297704696655273, 1.8656508922576904, 2.902883291244507, 2.0943119525909424, 4.54662561416626, 1.149198293685913, 1.7670173645019531, 1.4325628280639648, 1.5157265663146973, 2.0365512371063232]"
3,touchpad,4,20,100,10,0,"[1.3793678283691406, 1.207848310470581, 1.7173824310302734, 1.3662900924682617, 1.816554307937622, 1.447861909866333, 1.3188080787658691, 1.3113830089569092, 1.2507073879241943, 1.1670637130737305]"
